"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","3,523.80","3,442.10","3,531.50","3,417.50","","2.75%"
"04/02/2026","3,468.50","3,502.10","3,514.30","3,423.40","","-1.57%"
"04/07/2026","3,464.50","3,465.75","3,516.25","3,459.75","","-0.12%"
"04/08/2026","3,478.00","3,496.00","3,501.00","3,442.32","","0.39%"
"04/09/2026","3,446.60","3,446.55","3,477.50","3,434.00","","-0.90%"
"04/10/2026","3,511.25","3,458.93","3,518.00","3,454.50","","1.88%"
"04/13/2026","3,626.75","3,544.00","3,645.05","3,532.10","","3.29%"
"04/14/2026","3,584.00","3,613.43","3,646.05","3,550.80","","-1.18%"
"04/15/2026","3,620.15","3,586.40","3,631.00","3,550.00","","1.01%"
"04/16/2026","3,644.45","3,664.00","3,671.60","3,618.73","","0.67%"
"04/17/2026","3,557.00","3,628.00","3,657.25","3,443.93","","-2.40%"
"04/20/2026","3,555.00","3,555.50","3,574.00","3,523.85","","-0.06%"
"04/21/2026","3,532.50","3,526.28","3,578.15","3,524.40","","-0.63%"
"04/22/2026","3,629.00","3,572.15","3,638.00","3,557.10","","2.73%"
"04/23/2026","3,619.52","3,609.48","3,631.00","3,586.10","","-0.26%"
"04/24/2026","3,603.00","3,599.40","3,635.78","3,585.20","","-0.46%"
"04/27/2026","3,580.80","3,609.75","3,616.50","3,573.50","","-0.62%"
"04/28/2026","3,539.50","3,555.00","3,580.00","3,517.85","","-1.15%"
"04/29/2026","3,481.40","3,549.03","3,557.20","3,472.00","","-1.64%"
"04/30/2026","3,483.50","3,468.40","3,490.50","3,453.60","","0.06%"
"05/01/2026","3,518.40","3,490.50","3,533.80","3,485.00","","1.00%"
"05/05/2026","3,575.75","3,500.18","3,598.10","3,495.00","","1.63%"
"05/06/2026","3,526.00","3,593.55","3,594.00","3,516.00","","-1.39%"
"05/07/2026","3,483.23","3,510.38","3,534.00","3,478.35","","-1.21%"
"05/08/2026","3,503.05","3,504.38","3,521.25","3,482.50","","0.57%"
"05/11/2026","3,578.45","3,514.65","3,582.00","3,512.00","","2.15%"
"05/12/2026","3,575.20","3,552.23","3,577.05","3,540.70","","-0.09%"
"05/13/2026","3,653.85","3,597.75","3,684.70","3,596.50","","2.20%"
"05/14/2026","3,653.00","3,643.40","3,675.50","3,626.40","","-0.02%"
"05/15/2026","3,564.00","3,606.00","3,615.00","3,547.50","","-2.44%"
"05/18/2026","3,561.65","3,555.98","3,587.95","3,547.95","","-0.07%"
"05/19/2026","3,596.00","3,569.70","3,619.58","3,561.45","","0.96%"
"05/20/2026","3,631.35","3,611.30","3,635.15","3,589.75","","0.98%"
"05/21/2026","3,638.05","3,608.60","3,683.35","3,600.90","","0.18%"
"05/22/2026","3,650.90","3,650.70","3,671.98","3,638.25","","0.35%"
"05/26/2026","3,678.55","3,677.30","3,708.50","3,667.50","","0.76%"
"05/27/2026","3,627.00","3,675.80","3,688.18","3,616.85","","-1.40%"
"05/28/2026","3,673.65","3,621.85","3,674.80","3,619.70","","1.29%"
"05/29/2026","3,675.00","3,641.75","3,684.00","3,640.45","","0.04%"
"06/01/2026","3,731.95","3,682.45","3,731.95","3,682.45","","1.55%"
"06/02/2026","3,762.00","3,781.35","3,789.50","3,741.90","","0.81%"
"06/03/2026","3,700.05","3,732.40","3,751.25","3,686.90","","-1.65%"
"06/04/2026","3,667.60","3,688.00","3,696.48","3,647.70","","-0.88%"
"06/05/2026","3,598.50","3,638.50","3,672.50","3,583.00","","-1.88%"
"06/08/2026","3,594.20","3,593.70","3,608.40","3,573.80","","-0.12%"
"06/09/2026","3,525.90","3,602.80","3,616.65","3,508.40","","-1.90%"
"06/10/2026","3,475.50","3,511.50","3,518.50","3,458.50","","-1.43%"
"06/11/2026","3,518.48","3,472.00","3,522.10","3,465.95","","1.24%"
"06/12/2026","3,543.00","3,527.25","3,547.25","3,496.50","","0.70%"
"06/15/2026","3,375.65","3,510.20","3,512.50","3,355.65","","-4.72%"
"06/16/2026","3,393.85","3,344.15","3,395.50","3,333.75","","0.54%"
"06/17/2026","3,422.35","3,412.80","3,433.65","3,405.70","","0.84%"
"06/18/2026","3,399.45","3,398.65","3,423.00","3,371.10","","-0.67%"
"06/19/2026","3,400.85","3,400.00","3,413.00","3,392.45","","0.04%"
"06/22/2026","3,362.60","3,415.90","3,428.00","3,358.40","","-1.12%"
"06/23/2026","3,258.20","3,241.00","3,273.75","3,225.20","","-3.10%"
"06/24/2026","3,119.00","3,232.00","3,232.00","3,113.13","","-4.27%"
"06/25/2026","3,173.25","3,132.95","3,174.35","3,121.90","","1.74%"
"06/26/2026","3,199.00","3,179.70","3,201.50","3,151.00","","0.81%"
"06/29/2026","3,099.80","3,190.05","3,207.15","3,085.55","","-3.10%"
"06/30/2026","3,098.15","3,100.55","3,141.50","3,082.00","","-0.05%"
"07/01/2026","3,097.35","3,060.00","3,101.63","3,046.00","","-0.03%"
"07/02/2026","3,085.45","3,073.90","3,098.60","3,042.50","","-0.38%"
"07/03/2026","3,093.30","3,120.95","3,130.65","3,082.70","","0.25%"
"07/06/2026","3,111.25","3,106.65","3,125.60","3,095.83","","0.58%"
"07/07/2026","3,141.00","3,117.90","3,152.15","3,117.05","","0.96%"
"07/08/2026","3,141.00","3,158.00","3,164.25","3,126.85","","0.00%"
"07/09/2026","3,209.00","3,148.00","3,213.05","3,147.30","","2.16%"
"07/10/2026","3,146.35","3,209.60","3,210.00","3,135.30","","-1.95%"
"07/13/2026","3,155.65","3,128.20","3,173.00","3,124.50","","0.30%"
"07/14/2026","3,175.60","3,191.15","3,203.55","3,162.75","","0.63%"
"07/15/2026","3,147.50","3,179.50","3,180.00","3,143.75","","-0.88%"
"07/16/2026","3,178.40","3,165.30","3,190.80","3,160.10","","0.98%"
"07/17/2026","3,164.65","3,166.55","3,168.00","3,140.00","","-0.43%"
"07/20/2026","3,137.50","3,157.30","3,162.00","3,119.00","","-0.86%"
"07/21/2026","3,166.20","3,155.25","3,182.80","3,153.00","","0.91%"
"07/22/2026","3,190.55","3,156.40","3,196.50","3,154.25","","0.77%"
"07/23/2026","3,191.55","3,209.00","3,211.15","3,175.88","","0.03%"
"07/24/2026","3,165.05","3,180.95","3,184.30","3,151.40","","-0.83%"
"07/27/2026","3,173.85","3,157.40","3,174.33","3,157.30","","0.28%"
